sales_order_id,project_id,material_id,order_type,order_status,payment_status,customer_name,customer_type,sales_rep_id,order_date,delivery_date,quantity,unit_price,revenue,cogs,gross_margin,margin_pct,tax_rate,tax_amount,total_amount,currency,delivery_terms,description,created_date
SO-2024-0000011,PRJ-2021-00897,MAT-00000737,CREDIT_NOTE,CLOSED,PAID,Taylor-Mcgee,EXTERNAL,EMP-000364,2024-11-23,2025-04-15,321,93.08,-29877.87,-18721.55,11156.32,37.34,0.05,1493.89,-31371.76,SAR,FOB,Enjoy once today human despite young.,2024-11-23
SO-2023-0000012,PRJ-2020-00977,MAT-00000798,CREDIT_NOTE,DELIVERED,PAID,"Snyder, Campos and Callahan",INTERNAL,EMP-000665,2023-05-03,2023-05-31,186,160.08,-29774.43,-18697.36,11077.07,37.2,0.05,1488.72,-31263.15,USD,EXW,Physical society instead.,2023-05-03
SO-2019-0000013,PRJ-2022-00750,MAT-00000498,STANDARD,CLOSED,PAID,Cruz PLC,EXTERNAL,EMP-001000,2019-03-26,2019-06-15,244,352.76,86072.34,54406.14,31666.2,36.79,0.15,12910.85,98983.19,USD,FOB,More wife team activity result.,2019-03-26
SO-2023-0000014,PRJ-2022-00774,MAT-00000748,STANDARD,IN_PROGRESS,OVERDUE,"Dyer, Potter and Mack",INTERNAL,EMP-000845,2023-08-20,2023-10-03,225,22.22,5000.0,3812.35,1187.65,23.75,0.15,750.0,5750.0,SAR,EXW,Born itself law west then.,2023-08-20
SO-2023-0000015,PRJ-2020-00568,MAT-00000236,STANDARD,CONFIRMED,PAID,Stanton-Gill,EXTERNAL,EMP-000740,2023-06-19,2023-07-21,464,10.78,5000.0,3286.18,1713.82,34.28,0.0,0.0,5000.0,SAR,DDP,Tree that fear police participant check.,2023-06-19
SO-2020-0000016,PRJ-2022-00553,MAT-00000136,CREDIT_NOTE,DELIVERED,PAID,Ryan PLC,INTERNAL,EMP-000893,2020-04-07,2020-05-15,414,62.22,-25759.76,-20508.76,5251.0,20.38,0.05,1287.99,-27047.75,SAR,DDP,Out major born.,2020-04-07
SO-2022-0000017,PRJ-2023-00479,MAT-00000885,STANDARD,CLOSED,PAID,Koch-Decker,INTERNAL,EMP-000900,2022-02-25,2022-05-13,373,35.13,13105.06,8061.62,5043.44,38.48,0.05,655.25,13760.31,SAR,FOB,Dream drive note bad.,2022-02-25
SO-2022-0000018,PRJ-2024-00188,MAT-00000286,STANDARD,CANCELLED,UNBILLED,"Tucker, Jones and Hodges",EXTERNAL,EMP-000600,2022-02-20,2022-03-18,442,217.04,95929.71,68185.18,27744.53,28.92,0.15,14389.46,110319.17,SAR,EXW,Campaign little near.,2022-02-20
SO-2019-0000019,PRJ-2020-00949,MAT-00000772,STANDARD,DELIVERED,BILLED,Rose-Obrien,JV_PARTNER,EMP-000325,2019-07-14,2019-07-28,31,494.71,15336.09,10739.25,4596.84,29.97,0.0,0.0,15336.09,SAR,DDP,Up sense ready require.,2019-07-14
SO-2021-0000020,PRJ-2020-00434,MAT-00000714,CREDIT_NOTE,DELIVERED,PAID,Carney-Santos,GOVERNMENT,EMP-000901,2021-01-30,2021-07-11,152,47.35,-7197.9,-4597.29,2600.61,36.13,0.0,0.0,-7197.9,SAR,CIF,Tonight later easy ask again.,2021-01-30
SO-2019-0000021,PRJ-2022-00052,MAT-00000599,STANDARD,CLOSED,BILLED,"Hall, Robinson and Jones",INTERNAL,EMP-000609,2019-02-05,2019-07-21,42,12846.2,539540.51,453319.09,86221.42,15.98,0.0,0.0,539540.51,EUR,DDP,Arrive attack all form method everything magazine.,2019-02-05
SO-2019-0000022,PRJ-2020-00965,MAT-00000912,STANDARD,DELIVERED,PAID,"Anderson, Walls and Duncan",JV_PARTNER,EMP-000710,2019-09-25,2019-12-28,299,142.72,42673.59,30076.61,12596.98,29.52,0.15,6401.04,49074.63,SAR,FCA,Drug list imagine behind probably great.,2019-09-25
SO-2021-0000023,PRJ-2021-00245,MAT-00000272,STANDARD,DELIVERED,PAID,Owens-Daniel,EXTERNAL,EMP-000523,2021-01-05,2021-05-16,480,138.03,66256.73,55142.47,11114.26,16.77,0.0,0.0,66256.73,USD,EXW,Art rock song.,2021-01-05
SO-2019-0000024,PRJ-2019-00551,MAT-00000219,STANDARD,CANCELLED,UNBILLED,Wright and Sons,INTERNAL,EMP-000643,2019-07-09,2019-10-03,451,15.66,7064.78,5794.65,1270.13,17.98,0.0,0.0,7064.78,USD,FCA,Large instead everything economic type kitchen.,2019-07-09
SO-2021-0000025,PRJ-2022-00627,MAT-00000827,STANDARD,CLOSED,PAID,"Garcia, Pearson and Fernandez",GOVERNMENT,EMP-000803,2021-05-16,2021-06-28,54,490.02,26460.97,22040.37,4420.6,16.71,0.0,0.0,26460.97,USD,FOB,Why unit support.,2021-05-16
SO-2021-0000026,PRJ-2024-00289,MAT-00000620,BLANKET,IN_PROGRESS,PAID,Russell Group,EXTERNAL,EMP-000280,2021-01-27,2021-03-05,251,281.72,70712.94,47094.53,23618.41,33.4,0.05,3535.65,74248.59,USD,EXW,Ten total clearly able.,2021-01-27
SO-2019-0000027,PRJ-2019-00342,MAT-00000790,STANDARD,IN_PROGRESS,PAID,Baker-Bowers,INTERNAL,EMP-000147,2019-01-05,2019-02-16,219,48.64,10652.07,7860.38,2791.69,26.21,0.15,1597.81,12249.88,EUR,FOB,Expect recent room situation product.,2019-01-05
SO-2023-0000028,PRJ-2019-00037,MAT-00000855,STANDARD,CONFIRMED,BILLED,Moore-Phillips,EXTERNAL,EMP-000492,2023-07-03,2023-09-08,461,228.18,105192.47,71222.1,33970.37,32.29,0.0,0.0,105192.47,USD,CIF,Often my security.,2023-07-03
SO-2025-0000029,PRJ-2020-00574,MAT-00000906,CREDIT_NOTE,CLOSED,OVERDUE,Williams Group,INTERNAL,EMP-000532,2025-07-31,2025-08-20,84,289.52,-24319.7,-16031.17,8288.53,34.08,0.0,0.0,-24319.7,EUR,DDP,Try most arm meet surface attention.,2025-07-31
SO-2025-0000030,PRJ-2023-00686,MAT-00000885,RETURN,IN_PROGRESS,PAID,Leonard and Sons,INTERNAL,EMP-000904,2025-08-29,2025-11-07,447,86.48,-38656.08,24238.29,14417.79,37.3,0.0,0.0,-38656.08,EUR,CIF,Build three east organization people.,2025-08-29
SO-2021-0000031,PRJ-2019-00841,MAT-00000815,STANDARD,CLOSED,PARTIALLY_PAID,Sandoval-Cunningham,EXTERNAL,EMP-000306,2021-06-29,2021-12-24,36,674.47,24280.77,16259.64,8021.13,33.03,0.05,1214.04,25494.81,USD,DAP,Various daughter respond draw how.,2021-06-29
SO-2021-0000032,PRJ-2019-00962,MAT-00000029,RETURN,IN_PROGRESS,PAID,"Brewer, Bryant and Hickman",EXTERNAL,EMP-000129,2021-11-02,2022-03-07,20,48179.31,-963586.25,815085.7,148500.55,15.41,0.0,0.0,-963586.25,USD,DDP,Act perform none.,2021-11-02
SO-2023-0000033,PRJ-2020-00524,MAT-00000119,RETURN,CONFIRMED,UNBILLED,Jones and Sons,EXTERNAL,EMP-000514,2023-12-18,2024-02-20,267,219.75,-58674.13,41600.8,17073.33,29.1,0.15,8801.12,-67475.25,SAR,FCA,Enter value thing these hard citizen.,2023-12-18
SO-2021-0000034,PRJ-2022-00639,MAT-00000322,RETURN,CLOSED,PARTIALLY_PAID,"Warner, Carr and Archer",EXTERNAL,EMP-000813,2021-07-26,2021-10-23,210,58.34,-12251.87,8298.45,3953.42,32.27,0.05,612.59,-12864.46,SAR,FCA,Account stage federal professional voice care.,2021-07-26
SO-2022-0000035,PRJ-2023-00694,MAT-00000767,STANDARD,IN_PROGRESS,PAID,Preston Ltd,EXTERNAL,EMP-000216,2022-08-09,2023-01-18,147,1398.82,205626.64,123396.85,82229.79,39.99,0.0,0.0,205626.64,SAR,DDP,Choice example decision garden reach table.,2022-08-09
SO-2022-0000036,PRJ-2021-00692,MAT-00000219,STANDARD,CANCELLED,UNBILLED,"Freeman, Whitehead and Mathis",EXTERNAL,EMP-000646,2022-02-13,2022-05-10,87,110.26,9592.48,7664.45,1928.03,20.1,0.15,1438.87,11031.35,USD,CIF,Plant stop analysis.,2022-02-13
SO-2019-0000037,PRJ-2022-00839,MAT-00000975,STANDARD,IN_PROGRESS,PAID,Wise-Walsh,GOVERNMENT,EMP-000920,2019-09-01,2020-02-18,24,3412.64,81903.37,52159.22,29744.15,36.32,0.0,0.0,81903.37,SAR,DDP,Claim kind relationship night.,2019-09-01
SO-2024-0000038,PRJ-2024-00590,MAT-00000200,BLANKET,DELIVERED,BILLED,Jones Ltd,INTERNAL,EMP-000883,2024-08-05,2024-10-14,3,1666.67,5000.0,3820.07,1179.93,23.6,0.0,0.0,5000.0,EUR,DAP,Nation strong old.,2024-08-05
SO-2022-0000039,PRJ-2022-00052,MAT-00000571,CREDIT_NOTE,CONFIRMED,BILLED,Jordan Inc,JV_PARTNER,EMP-000343,2022-11-01,2023-02-04,272,30.02,-8165.89,-5848.09,2317.8,28.38,0.15,1224.88,-9390.77,EUR,DAP,Half value win always.,2022-11-01
SO-2025-0000040,PRJ-2020-00737,MAT-00000914,STANDARD,CANCELLED,UNBILLED,Clark-Wright,INTERNAL,EMP-000642,2025-09-01,2026-01-08,82,981.0,80442.01,57232.75,23209.26,28.85,0.15,12066.3,92508.31,SAR,FCA,Government nice themselves.,2025-09-01
SO-2021-0000041,PRJ-2024-00785,MAT-00000797,STANDARD,IN_PROGRESS,PARTIALLY_PAID,"Brady, Frost and Young",GOVERNMENT,EMP-000654,2021-06-21,2021-09-24,121,1498.03,181262.2,141092.0,40170.2,22.16,0.05,9063.11,190325.31,SAR,FOB,Wish specific thing agent.,2021-06-21
SO-2020-0000042,PRJ-2024-00393,MAT-00000711,BLANKET,CONFIRMED,PARTIALLY_PAID,"Middleton, Patton and Jenkins",EXTERNAL,EMP-000183,2020-04-15,2020-08-14,213,363.49,77424.03,56957.2,20466.83,26.43,0.0,0.0,77424.03,USD,FCA,Environment skin blue the.,2020-04-15
SO-2019-0000043,PRJ-2021-00878,MAT-00000902,STANDARD,DELIVERED,OVERDUE,Walker-Velasquez,GOVERNMENT,EMP-000931,2019-10-03,2020-03-04,200,251.69,50338.61,33961.1,16377.51,32.53,0.05,2516.93,52855.54,EUR,DDP,Glass star the development process.,2019-10-03
SO-2020-0000044,PRJ-2024-00280,MAT-00000447,STANDARD,IN_PROGRESS,PAID,Murphy-Lin,EXTERNAL,EMP-000618,2020-03-06,2020-08-26,85,448.4,38114.29,26721.13,11393.16,29.89,0.05,1905.71,40020.0,EUR,DAP,Go meeting quickly such.,2020-03-06
SO-2023-0000045,PRJ-2023-00679,MAT-00000028,STANDARD,CONFIRMED,PAID,Crosby-Wilson,EXTERNAL,EMP-000090,2023-04-19,2023-08-27,195,33.42,6517.31,3992.32,2524.99,38.74,0.05,325.87,6843.18,USD,DDP,Condition while enter board.,2023-04-19
SO-2021-0000046,PRJ-2019-00771,MAT-00000975,STANDARD,CONFIRMED,UNBILLED,Reed-Hartman,INTERNAL,EMP-000547,2021-04-25,2021-10-22,488,41.68,20337.74,14945.29,5392.45,26.51,0.05,1016.89,21354.63,EUR,EXW,Paper memory history office effort.,2021-04-25
SO-2025-0000047,PRJ-2019-00032,MAT-00000973,STANDARD,DRAFT,BILLED,"Graham, Meyer and Drake",EXTERNAL,EMP-000339,2025-10-16,2025-12-24,343,87.47,30002.68,18948.35,11054.33,36.84,0.0,0.0,30002.68,SAR,CIF,Hair attorney professional form.,2025-10-16
SO-2020-0000048,PRJ-2019-00621,MAT-00000622,BLANKET,CLOSED,BILLED,Alvarado-Martinez,EXTERNAL,EMP-000918,2020-06-08,2020-11-16,297,984.32,292343.08,198138.37,94204.71,32.22,0.0,0.0,292343.08,EUR,DDP,Medical project for recent.,2020-06-08
SO-2024-0000049,PRJ-2020-00204,MAT-00000078,BLANKET,DELIVERED,BILLED,"Martinez, Fisher and Bentley",GOVERNMENT,EMP-000744,2024-11-03,2024-12-17,436,229.93,100250.51,79510.71,20739.8,20.69,0.15,15037.58,115288.09,USD,EXW,Past feeling nature a.,2024-11-03
SO-2021-0000050,PRJ-2020-00546,MAT-00000439,STANDARD,DELIVERED,PARTIALLY_PAID,Clark-Floyd,JV_PARTNER,EMP-000812,2021-02-24,2021-06-28,422,11.85,5000.0,4061.97,938.03,18.76,0.05,250.0,5250.0,USD,DDP,Pressure let kind degree list top.,2021-02-24
SO-2024-0000051,PRJ-2020-00157,MAT-00000446,BLANKET,CANCELLED,UNBILLED,"Jackson, Miller and Robertson",EXTERNAL,EMP-000219,2024-09-04,2025-01-15,414,235.16,97355.64,64986.9,32368.74,33.25,0.15,14603.35,111958.99,USD,CIF,Friend stand seem pull different current.,2024-09-04
SO-2021-0000052,PRJ-2021-00873,MAT-00000252,STANDARD,DELIVERED,PAID,Williams Group,EXTERNAL,EMP-000098,2021-06-22,2021-07-13,343,97.97,33603.2,24949.11,8654.09,25.75,0.05,1680.16,35283.36,SAR,DDP,Sure authority increase picture create recent.,2021-06-22
SO-2020-0000053,PRJ-2024-00364,MAT-00000817,STANDARD,CLOSED,PAID,Ross-Hernandez,INTERNAL,EMP-000362,2020-04-07,2020-05-12,6,3615.04,21690.23,14512.22,7178.01,33.09,0.15,3253.53,24943.76,SAR,DAP,Throughout team those.,2020-04-07
SO-2025-0000054,PRJ-2022-00247,MAT-00000708,STANDARD,DELIVERED,PAID,Robinson-Brock,EXTERNAL,EMP-000608,2025-12-21,2026-03-07,114,1314.64,149868.64,93407.63,56461.01,37.67,0.05,7493.43,157362.07,USD,DDP,Let newspaper true building card let.,2025-12-21
SO-2023-0000055,PRJ-2022-00544,MAT-00000353,CREDIT_NOTE,DELIVERED,PARTIALLY_PAID,"Travis, Larson and Dodson",GOVERNMENT,EMP-000552,2023-04-29,2023-06-12,157,1790.51,-281109.42,-200553.67,80555.75,28.66,0.05,14055.47,-295164.89,SAR,FCA,Partner rest measure store natural.,2023-04-29
SO-2023-0000056,PRJ-2020-00974,MAT-00000781,STANDARD,IN_PROGRESS,PAID,Manning Group,JV_PARTNER,EMP-000845,2023-11-02,2024-01-27,390,620.65,242054.98,189080.34,52974.64,21.89,0.15,36308.25,278363.23,USD,CIF,Else easy point she miss.,2023-11-02
SO-2020-0000057,PRJ-2019-00370,MAT-00000184,STANDARD,DELIVERED,BILLED,"Allen, Gonzales and Reeves",EXTERNAL,EMP-000426,2020-12-23,2021-02-07,284,59.87,17003.49,14343.7,2659.79,15.64,0.05,850.17,17853.66,USD,EXW,Even floor music catch.,2020-12-23
SO-2025-0000058,PRJ-2019-00013,MAT-00000588,STANDARD,DELIVERED,BILLED,Reyes and Sons,EXTERNAL,EMP-000406,2025-02-28,2025-03-30,482,78.12,37653.51,23075.73,14577.78,38.72,0.05,1882.68,39536.19,SAR,FCA,Ask imagine my indeed.,2025-02-28
SO-2024-0000059,PRJ-2023-00055,MAT-00000156,RETURN,CANCELLED,UNBILLED,Wall Group,EXTERNAL,EMP-000176,2024-10-12,2025-02-09,128,768.83,-98409.75,61141.51,37268.24,37.87,0.0,0.0,-98409.75,USD,FOB,Watch affect thing offer local wall.,2024-10-12
SO-2025-0000060,PRJ-2022-00536,MAT-00000390,CREDIT_NOTE,IN_PROGRESS,PAID,Molina-Castaneda,JV_PARTNER,EMP-000587,2025-01-31,2025-07-20,292,885.86,-258672.4,-182935.05,75737.35,29.28,0.15,38800.86,-297473.26,SAR,FOB,Mrs same son today major.,2025-01-31
SO-2024-0000061,PRJ-2022-00217,MAT-00000271,STANDARD,IN_PROGRESS,PAID,Graham-Johnson,EXTERNAL,EMP-000812,2024-12-18,2025-06-02,210,138.95,29179.99,18649.9,10530.09,36.09,0.05,1459.0,30638.99,SAR,CIF,Protect something right subject try.,2024-12-18
SO-2024-0000062,PRJ-2020-00290,MAT-00000720,STANDARD,IN_PROGRESS,BILLED,"Ferguson, Meadows and Vargas",INTERNAL,EMP-000591,2024-04-11,2024-08-11,302,150.07,45320.35,36157.12,9163.23,20.22,0.15,6798.05,52118.4,SAR,FOB,Base investment term.,2024-04-11
SO-2021-0000063,PRJ-2023-00847,MAT-00000146,STANDARD,CLOSED,PAID,Williams Group,EXTERNAL,EMP-000079,2021-08-13,2021-09-27,472,24.13,11390.07,9181.08,2208.99,19.39,0.05,569.5,11959.57,SAR,DDP,Deep force seven here sell.,2021-08-13
SO-2021-0000064,PRJ-2022-00513,MAT-00000553,STANDARD,DELIVERED,OVERDUE,King-Miller,INTERNAL,EMP-000627,2021-01-14,2021-02-20,310,32.11,9953.6,7799.97,2153.63,21.64,0.05,497.68,10451.28,USD,DAP,See appear weight.,2021-01-14
SO-2023-0000065,PRJ-2020-00974,MAT-00000022,BLANKET,IN_PROGRESS,UNBILLED,Santos Ltd,JV_PARTNER,EMP-000931,2023-11-30,2024-04-05,241,840.5,202559.46,159833.03,42726.43,21.09,0.15,30383.92,232943.38,SAR,DAP,Senior wear current.,2023-11-30
SO-2022-0000066,PRJ-2022-00651,MAT-00000834,CREDIT_NOTE,DELIVERED,PARTIALLY_PAID,Howell and Sons,EXTERNAL,EMP-000623,2022-06-18,2022-10-15,54,8479.24,-457878.91,-311478.8,146400.11,31.97,0.0,0.0,-457878.91,SAR,DDP,List boy way.,2022-06-18
SO-2025-0000067,PRJ-2024-00779,MAT-00000564,STANDARD,IN_PROGRESS,PARTIALLY_PAID,Lyons-Wang,EXTERNAL,EMP-000039,2025-01-01,2025-06-02,207,259.63,53743.87,45281.69,8462.18,15.75,0.15,8061.58,61805.45,SAR,DAP,Paper white responsibility sing.,2025-01-01
SO-2021-0000068,PRJ-2020-00638,MAT-00000775,STANDARD,CLOSED,BILLED,Oconnell Inc,INTERNAL,EMP-000638,2021-08-13,2021-12-29,475,567.92,269763.07,198897.64,70865.43,26.27,0.05,13488.15,283251.22,EUR,DAP,Agent find quality when however resource.,2021-08-13
SO-2025-0000069,PRJ-2023-00246,MAT-00000727,STANDARD,DRAFT,PARTIALLY_PAID,Vargas Ltd,EXTERNAL,EMP-000191,2025-08-25,2025-10-08,431,238.97,102996.89,67584.0,35412.89,34.38,0.0,0.0,102996.89,SAR,FCA,Big significant sure outside.,2025-08-25
SO-2021-0000070,PRJ-2024-00522,MAT-00000723,STANDARD,DELIVERED,PAID,Hogan PLC,EXTERNAL,EMP-000387,2021-04-08,2021-09-22,75,303.33,22750.0,16247.97,6502.03,28.58,0.05,1137.5,23887.5,EUR,EXW,Girl into have.,2021-04-08
SO-2021-0000071,PRJ-2021-00792,MAT-00000809,STANDARD,CLOSED,BILLED,"Holland, Smith and Fisher",JV_PARTNER,EMP-000542,2021-10-28,2022-04-08,372,276.77,102959.75,61841.88,41117.87,39.94,0.05,5147.99,108107.74,SAR,FOB,Black whether player stock religious itself.,2021-10-28
SO-2022-0000072,PRJ-2024-00552,MAT-00000496,STANDARD,CLOSED,PARTIALLY_PAID,"Boyd, Santos and Gilbert",EXTERNAL,EMP-000469,2022-12-24,2023-03-09,446,1348.48,601423.64,501114.03,100309.61,16.68,0.0,0.0,601423.64,SAR,DDP,Simple let stay or focus early.,2022-12-24
SO-2019-0000073,PRJ-2020-00326,MAT-00000763,BLANKET,CLOSED,PARTIALLY_PAID,Ramirez Group,JV_PARTNER,EMP-000607,2019-03-19,2019-08-06,421,134.78,56741.49,43459.57,13281.92,23.41,0.15,8511.22,65252.71,SAR,DAP,Seek now property from.,2019-03-19
SO-2021-0000074,PRJ-2019-00891,MAT-00000103,STANDARD,CANCELLED,UNBILLED,Rosales-White,INTERNAL,EMP-000572,2021-12-02,2022-01-24,74,8458.27,625912.26,377948.92,247963.34,39.62,0.05,31295.61,657207.87,USD,CIF,Great election evidence other.,2021-12-02
SO-2021-0000075,PRJ-2022-00639,MAT-00000710,STANDARD,CLOSED,OVERDUE,Peters-Black,GOVERNMENT,EMP-000525,2021-11-17,2022-04-04,195,25.64,5000.0,4074.18,925.82,18.52,0.05,250.0,5250.0,SAR,EXW,Beat result major serve.,2021-11-17
SO-2020-0000076,PRJ-2023-00647,MAT-00000701,CREDIT_NOTE,CLOSED,PARTIALLY_PAID,"Alvarez, Joseph and West",INTERNAL,EMP-000414,2020-02-21,2020-06-27,325,632.09,-205428.59,-128312.91,77115.68,37.54,0.15,30814.29,-236242.88,SAR,EXW,Behavior develop reality.,2020-02-21
SO-2019-0000077,PRJ-2021-00333,MAT-00000816,STANDARD,IN_PROGRESS,BILLED,Beck-Wood,INTERNAL,EMP-000061,2019-04-03,2019-05-30,290,235.26,68225.29,49994.92,18230.37,26.72,0.15,10233.79,78459.08,USD,DDP,Most international second former reflect even.,2019-04-03
SO-2023-0000078,PRJ-2022-00700,MAT-00000247,CREDIT_NOTE,CONFIRMED,PAID,Hall-Griffith,JV_PARTNER,EMP-000636,2023-01-05,2023-05-18,131,291.87,-38234.33,-25368.26,12866.07,33.65,0.15,5735.15,-43969.48,USD,FOB,Build movie several continue describe.,2023-01-05
SO-2019-0000079,PRJ-2020-00453,MAT-00000968,CREDIT_NOTE,IN_PROGRESS,OVERDUE,Hill-Lawrence,GOVERNMENT,EMP-000469,2019-04-12,2019-08-02,234,293.63,-68709.39,-53083.39,15626.0,22.74,0.05,3435.47,-72144.86,SAR,DDP,Others wonder strategy fast guess few.,2019-04-12
SO-2023-0000080,PRJ-2023-00368,MAT-00000589,CREDIT_NOTE,IN_PROGRESS,OVERDUE,"Ferguson, Hill and Mccann",JV_PARTNER,EMP-000419,2023-10-17,2023-11-12,141,35.46,-5000.0,-3822.79,1177.21,23.54,0.0,0.0,-5000.0,USD,CIF,Factor want point sell bill activity.,2023-10-17
SO-2025-0000081,PRJ-2024-00819,MAT-00000236,RETURN,IN_PROGRESS,BILLED,Harrison-Alexander,EXTERNAL,EMP-000752,2025-12-04,2026-01-22,387,111.28,-43066.13,28538.06,14528.07,33.73,0.15,6459.92,-49526.05,EUR,FCA,Whole education technology box.,2025-12-04
SO-2019-0000082,PRJ-2020-00317,MAT-00000808,STANDARD,IN_PROGRESS,BILLED,Morales Inc,INTERNAL,EMP-000572,2019-08-01,2019-09-28,168,608.93,102300.4,84644.06,17656.34,17.26,0.15,15345.06,117645.46,USD,CIF,Picture approach chance none fight yes.,2019-08-01
SO-2023-0000083,PRJ-2022-00514,MAT-00000936,RETURN,IN_PROGRESS,PAID,Grant Group,EXTERNAL,EMP-000387,2023-06-23,2023-08-05,413,1330.61,-549542.32,395924.34,153617.98,27.95,0.05,27477.12,-577019.44,SAR,FOB,Other peace simply herself training father.,2023-06-23
SO-2025-0000084,PRJ-2024-00693,MAT-00000742,CREDIT_NOTE,CANCELLED,UNBILLED,"Branch, Torres and Oliver",INTERNAL,EMP-000823,2025-07-22,2025-08-08,188,146.37,-27517.97,-22045.94,5472.03,19.89,0.0,0.0,-27517.97,SAR,CIF,Whether between several personal enough ball.,2025-07-22
SO-2024-0000085,PRJ-2023-00767,MAT-00000689,STANDARD,CLOSED,OVERDUE,Thompson Inc,GOVERNMENT,EMP-000364,2024-01-13,2024-07-03,120,148.38,17805.45,11165.56,6639.89,37.29,0.05,890.27,18695.72,USD,DAP,Able late order fact.,2024-01-13
SO-2020-0000086,PRJ-2021-00664,MAT-00000065,RETURN,CANCELLED,UNBILLED,Roberts LLC,JV_PARTNER,EMP-000777,2020-03-12,2020-04-06,210,134.32,-28208.1,19055.91,9152.19,32.45,0.0,0.0,-28208.1,SAR,DDP,Author do enough social operation.,2020-03-12
SO-2019-0000087,PRJ-2023-00100,MAT-00000241,STANDARD,DELIVERED,PAID,Coleman PLC,GOVERNMENT,EMP-000670,2019-08-03,2020-01-14,485,487.34,236358.07,185726.63,50631.44,21.42,0.15,35453.71,271811.78,SAR,DDP,Positive training step author.,2019-08-03
SO-2024-0000088,PRJ-2021-00102,MAT-00000854,STANDARD,CANCELLED,UNBILLED,Sparks PLC,EXTERNAL,EMP-000622,2024-04-21,2024-08-26,354,276.95,98039.59,65680.16,32359.43,33.01,0.05,4901.98,102941.57,SAR,CIF,Tv keep light fight I evening.,2024-04-21
SO-2019-0000089,PRJ-2019-00703,MAT-00000377,CREDIT_NOTE,DELIVERED,UNBILLED,"Snyder, Miller and Williams",EXTERNAL,EMP-000676,2019-08-21,2019-09-27,496,54.53,-27047.77,-18094.16,8953.61,33.1,0.0,0.0,-27047.77,USD,DAP,Same page ago director purpose.,2019-08-21
